Issue key,Issue id,Issue Type,Resolved,Custom field (Story Points)
SEP-7676,53934,Bug,04.01.21 11:13,0.5
SEP-8025,55214,Bug,05.01.21 09:17,0.5
SEP-7829,54565,Story,05.01.21 09:17,2.0
SEP-7875,54704,Bug,05.01.21 09:28,3.0
SEP-6988,51434,Story,05.01.21 09:36,1.0
SEP-8233,55996,Task,08.01.21 10:29,1.0
SEP-7136,51886,Bug,08.01.21 11:04,1.0
SEP-8068,55340,Bug,08.01.21 11:22,1.0
SEP-8187,55766,Story,11.01.21 11:09,1.0
SEP-8123,55495,Bug,12.01.21 11:06,1.0
SEP-8114,55464,Bug,12.01.21 11:07,3.0
SEP-8095,55432,Bug,12.01.21 11:22,2.0
SEP-8029,55223,Story,13.01.21 11:04,1.0
SEP-8146,55594,Bug,13.01.21 11:10,1.0
SEP-5594,46076,Story,13.01.21 11:11,5.0
SEP-8342,56615,Bug,15.01.21 11:09,1.0
SEP-8037,55244,Bug,15.01.21 11:20,3.0
SEP-8266,56144,Bug,18.01.21 10:16,1.0
SEP-8276,56188,Bug,19.01.21 09:18,0.5
SEP-8350,56652,Bug,19.01.21 09:18,0.5
SEP-8191,55770,Bug,19.01.21 09:19,0.5
SEP-7856,54653,Bug,19.01.21 09:23,1.0
SEP-6526,49966,Bug,19.01.21 09:32,2.0
SEP-8449,57070,Bug,21.01.21 11:15,0.5
SEP-8508,57346,Bug,22.01.21 10:38,0.5
SEP-8414,56973,Bug,22.01.21 10:43,0.5
SEP-8363,56700,Story,25.01.21 11:14,2.0
SEP-8158,55625,Story,26.01.21 11:18,5.0
SEP-8404,56908,Task,27.01.21 11:05,1.0
SEP-8202,55858,Bug,28.01.21 10:15,1.0
SEP-8251,56066,Story,29.01.21 11:19,3.0
SEP-6638,50430,Bug,02.02.21 09:26,2.0
SEP-8134,55550,Bug,02.02.21 09:27,1.0
SEP-8195,55791,Bug,02.02.21 09:27,1.0
SEP-7881,54752,Story,02.02.21 09:28,3.0
SEP-5616,46155,Story,02.02.21 09:29,3.0
SEP-5652,46573,Story,02.02.21 09:44,2.0
SEP-4937,42280,Story,05.02.21 11:07,2.0
SEP-8541,57552,Story,05.02.21 16:36,2.0
SEP-8549,57583,Bug,08.02.21 11:18,2.0
SEP-8584,57770,Bug,08.02.21 11:19,1.0
SEP-8623,58155,Task,09.02.21 11:18,1.0
SEP-8580,57764,Bug,10.02.21 11:31,1.0
SEP-8667,58317,Bug,12.02.21 11:10,2.0
SEP-8688,58522,Bug,12.02.21 11:10,2.0
SEP-8810,59099,Bug,16.02.21 09:07,0.5
SEP-7948,54964,Story,16.02.21 09:07,2.0
SEP-7169,52007,Bug,16.02.21 09:10,1.0
SEP-5611,46149,Story,16.02.21 09:20,2.0
SEP-8255,56079,Bug,17.02.21 11:09,0.5
SEP-8254,56069,Story,17.02.21 11:10,2.0
SEP-8733,58614,Bug,18.02.21 10:35,5.0
SEP-8329,56513,Story,19.02.21 11:11,3.0
SEP-8964,60076,Bug,22.02.21 11:10,0.5
SEP-8865,59371,Story,22.02.21 11:11,0.5
SEP-8764,58693,Bug,24.02.21 11:08,1.0
SEP-8493,57316,Bug,24.02.21 11:11,3.0
SEP-8969,60086,Bug,24.02.21 11:12,1.0
SEP-8879,59543,Task,25.02.21 09:57,1.0
SEP-8259,56101,Story,26.02.21 11:19,5.0
SEP-8252,56067,Story,26.02.21 11:19,3.0
SEP-8874,59502,Bug,26.02.21 11:20,0.5
SEP-7932,54944,Story,26.02.21 11:20,5.0
SEP-8892,59557,Bug,26.02.21 11:21,1.0
SEP-9022,60442,Story,26.02.21 11:21,0.5
SEP-9015,60366,Bug,26.02.21 11:22,1.0
SEP-2745,30864,Story,02.03.21 09:10,3.0
SEP-8973,60090,Bug,02.03.21 09:11,1.0
SEP-8512,57351,Bug,02.03.21 09:11,1.0
SEP-9037,60496,Bug,02.03.21 09:14,0.5
SEP-8924,59745,Bug,03.03.21 11:15,1.0
SEP-8858,59320,Bug,04.03.21 10:21,0.5
SEP-8776,58713,Story,05.03.21 11:09,2.0
SEP-8455,57149,Bug,05.03.21 11:10,0.5
SEP-9148,61400,Bug,05.03.21 11:11,0.5
SEP-8849,59288,Bug,09.03.21 11:12,2.0
SEP-3062,33573,Story,10.03.21 11:19,1.0
SEP-4950,42313,Bug,11.03.21 10:00,0.5
SEP-6800,50896,Bug,11.03.21 10:08,1.0
SEP-9177,61609,Bug,11.03.21 10:13,1.0
SEP-8772,58707,Bug,11.03.21 10:14,0.5
SEP-4598,40934,Story,12.03.21 11:08,1.0
SEP-7500,53296,Story,12.03.21 11:12,1.0
SEP-9062,60778,Bug,12.03.21 11:13,0.5
SEP-453,13539,Story,15.03.21 11:08,5.0
SEP-9121,61333,Bug,15.03.21 11:09,1.0
SEP-9139,61364,Bug,15.03.21 11:09,1.0
SEP-9233,62548,Story,15.03.21 11:10,
SEP-9228,62539,Story,15.03.21 11:12,1.0
SEP-9070,60842,Task,16.03.21 09:11,1.0
SEP-8937,59967,Story,16.03.21 09:12,2.0
SEP-8905,59698,Story,16.03.21 09:21,1.0
SEP-6753,50819,Bug,16.03.21 09:22,0.5
SEP-9246,62599,Bug,16.03.21 09:23,1.0
SEP-6465,49789,Bug,16.03.21 09:23,0.5
SEP-9343,63139,Task,16.03.21 19:02,
SEP-8033,55237,Story,22.03.21 11:13,1.0
SEP-8284,56250,Bug,22.03.21 11:14,1.0
SEP-9287,62967,Bug,22.03.21 11:14,1.0
SEP-9349,63214,Bug,22.03.21 11:14,1.0
SEP-9254,62819,Story,22.03.21 11:15,1.0
SEP-8977,60094,Story,23.03.21 11:18,0.5
SEP-9134,61350,Bug,23.03.21 11:18,3.0
SEP-9388,63706,Bug,23.03.21 11:22,1.0
SEP-9271,62846,Bug,24.03.21 11:03,2.0
SEP-8780,58721,Story,26.03.21 11:28,8.0
SEP-8573,57732,Story,26.03.21 11:34,1.0
SEP-7705,54034,Story,26.03.21 11:34,1.0
SEP-9116,61318,Story,26.03.21 11:39,2.0
SEP-9394,63717,Bug,29.03.21 11:47,1.0
SEP-8516,57367,Story,30.03.21 09:11,3.0
SEP-9163,61552,Story,30.03.21 09:15,2.0
SEP-113,12180,Story,30.03.21 09:15,5.0
SEP-9295,63004,Task,30.03.21 09:29,2.0
SEP-9429,63995,Story,31.03.21 11:23,0.5
SEP-9409,63856,Bug,01.04.21 10:09,3.0
SEP-9375,63422,Bug,01.04.21 10:14,2.0
SEP-9291,62973,Bug,06.04.21 11:15,0.5
SEP-9596,64768,Bug,07.04.21 11:04,0.5
SEP-9355,63244,Bug,09.04.21 11:25,2.0
SEP-9615,64888,Bug,09.04.21 11:27,0.5
SEP-9625,64944,Bug,12.04.21 11:22,0.5
SEP-9495,64204,Bug,12.04.21 11:26,0.5
SEP-9544,64327,Task,13.04.21 09:06,1.0
SEP-9390,63710,Story,13.04.21 09:06,0.5
SEP-9434,64034,Story,13.04.21 09:15,3.0
SEP-9640,65009,Bug,13.04.21 09:17,1.0
SEP-9420,63924,Story,16.04.21 11:13,0.5
SEP-9703,65484,Bug,20.04.21 11:19,0.5
SEP-8672,58436,Bug,20.04.21 13:32,1.0
SEP-9489,64156,Bug,21.04.21 11:18,1.0
SEP-9008,60336,Story,21.04.21 11:19,3.0
SEP-9713,65574,Bug,22.04.21 09:42,1.0
SEP-9262,62831,Bug,23.04.21 11:14,1.0
SEP-9436,64037,Story,23.04.21 11:15,1.0
SEP-9636,65003,Story,23.04.21 11:15,2.0
SEP-9549,64333,Bug,23.04.21 11:18,1.0
SEP-9716,65579,Bug,23.04.21 11:28,2.0
SEP-7421,52996,Bug,23.04.21 11:29,1.0
SEP-9422,63934,Bug,23.04.21 11:30,0.5
SEP-9556,64438,Bug,23.04.21 11:31,0.5
SEP-9401,63789,Bug,23.04.21 11:33,0.5
SEP-8752,58671,Bug,26.04.21 11:06,1.0
SEP-9694,65465,Bug,26.04.21 11:17,0.5
SEP-7809,54456,Bug,27.04.21 09:12,1.0
SEP-9759,65896,Bug,27.04.21 09:13,1.0
SEP-9053,60674,Bug,27.04.21 09:14,0.5
SEP-7615,53700,Bug,27.04.21 09:14,0.5
SEP-9643,65091,Task,27.04.21 09:25,1.0
SEP-5308,44454,Story,29.04.21 10:00,8.0
SEP-9813,66183,Bug,29.04.21 10:02,0.5
SEP-9531,64249,Bug,30.04.21 11:06,1.0
SEP-9604,64846,Bug,30.04.21 11:10,3.0
SEP-6787,50870,Bug,30.04.21 11:11,1.0
SEP-9763,65900,Bug,05.05.21 11:17,0.5
SEP-9609,64872,Bug,06.05.21 10:02,2.0
SEP-8900,59681,Story,07.05.21 11:19,2.0
SEP-2625,30199,Bug,07.05.21 11:20,2.0
SEP-9901,67004,Bug,10.05.21 11:18,1.0
SEP-1416,20365,Bug,10.05.21 14:03,1.0
SEP-7251,52338,Story,10.05.21 15:37,
